FIPSCODE,elevation,duration_mins_decimal,AHRF_USDA_RUCC_2013,ACS_PCT_MOBILE_HOME,ACS_PCT_NON_CITIZEN,ACS_PCT_DIVORCE_SEPARAT,ACS_PCT_FOOD_STAMP,ACS_PCT_VA_POOR,ACS_PCT_NONVA_POOR,ACS_PCT_VA_DISABLE,ACS_PCT_HH_PUB_ASSIST,Violent crime raw value,Frequent mental distress raw value,mean_temp,PM2.5,temperature_humid_index
01001,0.03581994751533589,0.017055227840351406,0.2222222222222222,0.18353,0.0096899999999999,0.12652,0.1301,0.04781,0.15195,0.18956,0.01345,0.1546805643661488,0.1263835707,0.7781442933754668,0.3804347826086957,0.7546251960832033
01009,0.05136476841559832,0.022584814530471037,0.1111111111111111,0.25217,0.0283999999999999,0.13418,0.09762,0.07168,0.13171,0.26007,0.01587,0.1231850152716351,0.138279427,0.6880102844559,0.375,0.7190250149486676
01017,0.06887915712526674,0.03399383873820468,0.6666666666666666,0.14004,0.01171,0.1479599999999999,0.14893,0.17531,0.15902,0.26202,0.00747,0.3067160569467471,0.1456000236,0.7484830323005804,0.3695652173913044,0.7586664368468937
01021,0.0525431661290053,0.02304156422192204,0.1111111111111111,0.32329,0.03697,0.14421,0.18972,0.0944,0.19072,0.23475,0.0194599999999999,0.2013350718446324,0.1426070407,0.7311133969986221,0.3804347826086957,0.7159167248993415
01033,0.047102478813913454,0.010369189803791994,0.3333333333333333,0.09276,0.0102,0.15153,0.12317,0.12474,0.1554299999999999,0.25158,0.0100499999999999,0.2617342017140617,0.13365516,0.7048380496212654,0.2717391304347826,0.6941610339557595
01045,0.02179896479293073,0.010553833296080698,0.4444444444444444,0.18209,0.01894,0.16359,0.19555,0.09681,0.19853,0.20742,0.0115199999999999,0.2110906052632416,0.1364086153,0.7652411340974716,0.3315217391304348,0.7947905861043019
01051,0.026938784606727176,0.016219473085781477,0.2222222222222222,0.15066,0.0094799999999999,0.14483,0.13269,0.03121,0.12903,0.24364,0.01373,0.1604336207049052,0.1277338597,0.7781442933754668,0.3858695652173912,0.7546251960832033
01065,0.021570528356762,0.03045645814909476,0.3333333333333333,0.35862,0.00195,0.1397499999999999,0.27165,0.19369,0.2460999999999999,0.27928,0.01432,0.1128988673289027,0.1544143288,0.7429317689044213,0.3641304347826086,0.729052108511732
01079,0.052206083095146565,0.020320502230299027,0.3333333333333333,0.22494,0.00663,0.13739,0.15869,0.045,0.17351,0.1825,0.01764,0.1536500611305478,0.1425113656,0.7029183362385969,0.3369565217391304,0.6941610339557595
01083,0.06010664081434804,0.021360336634240678,0.2222222222222222,0.12576,0.02189,0.13654,0.11912,0.05361,0.12858,0.16773,0.01528,0.0834022415207594,0.1262634982,0.7043684998878428,0.3423913043478261,0.6753556708209242
01099,0.014182559713841577,0.05687991370346255,0.7777777777777778,0.226,0.00181,0.14164,0.16137,0.288,0.31775,0.284,0.01338,0.2842328465822246,0.1512062351,0.7912674783089138,0.3532608695652174,0.8129452668807691
01107,0.021746034399184315,0.017570286003051477,0.3333333333333333,0.23742,0.02956,0.1541499999999999,0.16454,0.09885,0.21183,0.2916,0.01713,0.1287044982519073,0.1486957095,0.7721798147346,0.3641304347826086,0.729052108511732
01121,0.05089118068207777,0.009552871206305087,0.4444444444444444,0.2362199999999999,0.01098,0.15883,0.17684,0.13816,0.19197,0.2393799999999999,0.02439,0.2147201599899544,0.1449592912,0.7237517382186907,0.3913043478260869,0.6995896026373476
02180,0.08466634351268379,0.0,0.7777777777777778,0.0100499999999999,0.01592,0.1168699999999999,0.34017,0.20175,0.22129,0.21053,0.10922,0.0,0.1692049873,0.21675155012325792,0.0,0.1332864057338039
02188,0.0025545879508137356,0.0,0.7777777777777778,0.0135,0.00634,0.10096,0.38118,0.07583,0.2399899999999999,0.09953,0.11505,0.0,0.1659021807,0.16829815876745502,0.0,0.0
02198,0.04359514377566428,1.0,1.0,0.14936,0.0129699999999999,0.1581199999999999,0.21647,0.14022,0.1444,0.22878,0.08277,0.0,0.1335693616,0.45263193990537337,0.0,0.4643191597805303
05141,0.05618979167711346,0.03337188171154799,0.8888888888888888,0.24128,0.0072499999999999,0.1702199999999999,0.1485699999999999,0.04489,0.19221,0.27681,0.01956,0.1543349886430012,0.1483169833,0.6628263915280674,0.3532608695652174,0.6293890750772432
05145,0.019428240315130848,0.0029251416409947426,0.4444444444444444,0.18276,0.01991,0.14541,0.12179,0.1118099999999999,0.16691,0.16859,0.01322,0.1217590989036711,0.1408655245,0.6985586085797164,0.375,0.6293890750772432
06005,0.20548693176436506,0.03944568079999223,0.6666666666666666,0.072,0.02466,0.1674,0.07921,0.05064,0.11153,0.2068499999999999,0.02009,0.1623441554448536,0.1068065222,0.6922684082922217,0.6032608695652174,0.4539397309032852
06021,0.044035301786818665,0.03576252903275964,0.6666666666666666,0.10426,0.13102,0.1173,0.11211,0.20864,0.17906,0.23398,0.03993,0.2440645973147024,0.1260029724,0.7371403510185783,0.6141304347826088,0.6962917743227889
06033,0.27288125205453506,0.02012614065946881,0.4444444444444444,0.22893,0.04931,0.1869,0.13194,0.13597,0.23306,0.32015,0.0390099999999999,0.3138499762677494,0.1356841677,0.6624523047268287,0.3641304347826086,0.6559989285224384
06043,0.2874287529042071,0.03070912819117404,0.8888888888888888,0.1896399999999999,0.04162,0.13186,0.11675,0.11301,0.16748,0.35445,0.0387,0.2440799200837964,0.1151437145,0.5148007917346828,0.6684782608695653,0.6892777268875533
06055,0.10457095737153237,0.028687767854539803,0.3333333333333333,0.06413,0.12198,0.12961,0.0556,0.0483699999999999,0.0823499999999999,0.11094,0.0207,0.1983995067194965,0.1033593696,0.6259621190987994,0.5923913043478262,0.6656743664084666
06089,0.15655417565090457,0.023469159677748517,0.3333333333333333,0.11858,0.02763,0.16015,0.11814,0.12407,0.18211,0.2339999999999999,0.03401,0.402054779347107,0.1230171178,0.7582739461107775,0.6684782608695653,0.6954780077417178
06099,0.0063349323883865145,0.012575193632714936,0.2222222222222222,0.04262,0.11463,0.12615,0.15819,0.07922,0.14892,0.23636,0.04955,0.310340733700496,0.1216046113,0.7392232293810306,0.8043478260869567,0.7006586896368605
06115,0.03850825435561425,0.017463387139094858,0.3333333333333333,0.1022199999999999,0.06116,0.13585,0.16265,0.06742,0.18078,0.13961,0.0595099999999999,0.2252566519869938,0.1236110876,0.7067631107830423,0.5706521739130435,0.6829114066026404
08003,0.6396470935642213,0.015801595708496517,0.7777777777777778,0.16047,0.05382,0.12128,0.24492,0.11797,0.27125,0.29764,0.06598,0.0,0.1309562614,0.4173007543150891,0.1684782608695652,0.3985260788714567
08013,0.5760191886606382,0.014159240434981195,0.2222222222222222,0.0295,0.06166,0.1199799999999999,0.0586,0.11186,0.14522,0.1192,0.0156099999999999,0.1225209624364256,0.0944404819,0.5457002758957981,0.3260869565217391,0.483182743313554
08014,0.45396170068140923,0.013304049523328244,0.1111111111111111,0.0268699999999999,0.0462,0.1055499999999999,0.0375,0.0695399999999999,0.05301,0.16506,0.01744,0.0306982547501698,0.0940473595,0.5151921929499697,0.3641304347826086,0.483182743313554
