,year,fips,Deaths,SuicideDeathRate,Population
37320,2014,1001,5,9.30509547,53734
37321,2014,1003,34,18.69528879,181864
37322,2014,1005,5,19.78317639,25274
37323,2014,1007,6,28.64235249,20948
37324,2014,1009,9,17.09726444,52640
37325,2014,1011,2,20.89864159,9570
37326,2014,1013,2,10.63207698,18811
37327,2014,1015,13,11.8807176,109421
37328,2014,1017,3,9.51354094,31534
37329,2014,1019,7,28.09101489,24919
37330,2014,1021,7,16.71122995,41888
37331,2014,1023,1,7.901390645,12656
37332,2014,1025,1,4.659398006,21462
37333,2014,1027,5,40.29658285,12408
37334,2014,1029,3,21.66064982,13850
37335,2014,1031,12,26.97114088,44492
37336,2014,1033,9,18.04475098,49876
37337,2014,1037,1,9.675858732,10335
37338,2014,1039,4,10.69861988,37388
37339,2014,1041,2,15.91849729,12564
37340,2014,1043,22,28.61341969,76887
37341,2014,1045,1,2.130152306,46945
37342,2014,1047,5,12.71940982,39310
37343,2014,1049,7,10.4627526,66904
37344,2014,1051,15,20.63103458,72706
37345,2014,1053,7,19.8903191,35193
37346,2014,1055,16,17.42786498,91807
37347,2014,1057,5,33.6111858,14876
37348,2014,1059,3,11.03022281,27198
37349,2014,1061,3,11.96410768,25075
37350,2014,1063,1,13.56852103,7370
37351,2014,1065,2,14.7568804,13553
37352,2014,1067,4,25.48257629,15697
37353,2014,1069,16,16.01377184,99914
37354,2014,1071,15,31.20773952,48065
37355,2014,1073,80,13.06730479,612215
37356,2014,1075,2,16.64031949,12019
37357,2014,1077,11,12.69343057,86659
37358,2014,1079,6,19.65022598,30534
37359,2014,1081,16,11.45262193,139706
37360,2014,1083,14,15.53673884,90109
37361,2014,1085,2,24.1984271,8265
37362,2014,1087,1,5.389673386,18554
37363,2014,1089,48,14.65366968,327563
37364,2014,1091,3,16.48442222,18199
37365,2014,1093,7,28.06623632,24941
37366,2014,1095,18,20.3096087,88628
37367,2014,1097,61,16.48568448,370018
37368,2014,1101,32,15.7255112,203491
37369,2014,1103,22,22.280286,98742
37370,2014,1107,2,10.79971921,18519
