,year,fips,Deaths,Population,SuicideDeathRate
0,2000,1001,8,40880,19.56947162
1,2000,1003,25,123900,20.17756255
2,2000,1005,3,26486,11.32673865
3,2000,1007,5,17222,29.03263268
4,2000,1009,5,45644,10.9543423
5,2000,1011,1,10051,9.94925878
6,2000,1013,4,19777,20.22551449
7,2000,1015,11,105294,10.44693905
8,2000,1017,4,29344,13.63140676
9,2000,1019,10,21594,46.30915995
10,2000,1021,5,33525,14.9142431
11,2000,1023,3,14147,21.20590938
12,2000,1025,1,25056,3.991060026
13,2000,1027,4,13858,28.86419397
14,2000,1029,3,13227,22.68088002
15,2000,1031,5,40475,12.35330451
16,2000,1033,8,52747,15.16673934
17,2000,1035,4,13045,30.66308931
18,2000,1037,1,10638,9.400263207
19,2000,1039,3,31169,9.624947865
20,2000,1041,5,12693,39.39179075
21,2000,1043,12,66817,17.95950132
22,2000,1045,6,45056,13.31676136
23,2000,1047,3,41770,7.182188173
24,2000,1049,6,60978,9.839614287
25,2000,1051,6,60562,9.907202536
26,2000,1053,4,35859,11.15480075
27,2000,1055,16,94970,16.8474255
28,2000,1057,3,16874,17.77883134
29,2000,1059,7,27588,25.37335073
30,2000,1061,3,23220,12.91989664
31,2000,1063,2,9164,21.82453077
32,2000,1067,1,14199,7.042749489
33,2000,1069,9,83021,10.84063068
34,2000,1071,6,51306,11.69453865
35,2000,1073,102,578666,17.62674842
36,2000,1075,4,14501,27.58430453
37,2000,1077,9,85933,10.47327569
38,2000,1079,4,33029,12.1105695
39,2000,1081,14,105530,13.26636975
40,2000,1083,7,63059,11.1007152
41,2000,1087,2,21455,9.321836402
42,2000,1089,30,244292,12.28038577
43,2000,1091,1,20503,4.877335024
44,2000,1093,6,29067,20.64196512
45,2000,1095,13,79783,16.29419801
46,2000,1097,56,365675,15.31414507
47,2000,1099,2,22627,8.838997658
48,2000,1101,21,201153,10.43981447
49,2000,1103,19,101780,18.66771468
50,2000,1105,1,11404,8.768853034
51,2000,1109,3,26733,11.22208506
52,2000,1111,4,20343,19.66278327
53,2000,1113,5,42587,11.74067204
54,2000,1115,11,61570,17.86584376
55,2000,1117,19,131921,14.40255911
56,2000,1119,1,13900,7.194244604
57,2000,1121,9,71997,12.50052086
58,2000,1123,6,37009,16.21227269
59,2000,1125,16,153858,10.39919926
60,2000,1127,12,59046,20.32313789
61,2000,1131,1,10095,9.905894007
62,2000,1133,3,21455,13.9827546
63,2000,4001,12,68580,17.49781277
64,2000,4003,24,114037,21.04580092
65,2000,4005,30,113920,26.33426966
66,2000,4007,9,49829,18.06177126
67,2000,4009,1,29407,3.400550889
68,2000,4011,2,7890,25.34854246
69,2000,4012,4,17091,23.40413083
70,2000,4013,427,2662942,16.03489674
71,2000,4015,55,139034,39.5586691
72,2000,4017,16,92955,17.21262977
73,2000,4019,128,794424,16.11230275
74,2000,4021,21,156701,13.40131843
75,2000,4023,1,34062,2.935822911
76,2000,4025,50,152903,32.70047023
77,2000,4027,16,139201,11.4941703
78,2000,5001,2,18904,10.57977148
79,2000,5003,2,22577,8.858572884
80,2000,5005,11,34594,31.79742152
81,2000,5007,16,132298,12.0939092
82,2000,5009,6,31900,18.80877743
83,2000,5011,2,11319,17.66940542
84,2000,5015,6,21679,27.67655335
85,2000,5017,1,12505,7.996801279
86,2000,5019,1,22781,4.389622931
87,2000,5021,1,14666,6.81849175
88,2000,5023,2,22291,8.972230945
89,2000,5025,1,7195,13.89854065
90,2000,5029,2,18629,10.73594933
91,2000,5031,12,78163,15.35253253
92,2000,5033,5,49696,10.06117193
93,2000,5035,3,44030,6.813536225
94,2000,5037,2,18180,11.00110011
95,2000,5041,1,14654,6.824075338
96,2000,5043,2,16240,12.31527094
97,2000,5045,10,78095,12.80491709
98,2000,5049,2,9982,20.03606492
99,2000,5051,17,86115,19.74104395
100,2000,5053,1,14874,6.723141051
101,2000,5055,7,30345,23.06805075
102,2000,5057,1,20947,4.773953311
103,2000,5059,3,27573,10.8802089
104,2000,5063,3,30364,9.880121196
105,2000,5067,4,17305,23.11470673
106,2000,5069,9,77619,11.59509914
107,2000,5071,2,20077,9.961647657
108,2000,5073,2,7180,27.8551532
109,2000,5075,3,16178,18.54370132
110,2000,5077,1,11033,9.063717937
111,2000,5079,2,14009,14.27653651
112,2000,5081,7,13352,52.42660276
113,2000,5083,3,22293,13.45713901
114,2000,5085,2,50804,3.936697898
115,2000,5087,2,14254,14.03114915
116,2000,5089,3,16162,18.56205915
117,2000,5091,8,38555,20.74957852
118,2000,5093,6,45801,13.10015065
119,2000,5095,2,9966,20.06823199
120,2000,5097,1,9038,11.06439478
121,2000,5099,1,8509,11.75226231
122,2000,5103,2,26184,7.638252368
123,2000,5105,6,9458,63.43835906
124,2000,5107,3,23950,12.52609603
125,2000,5111,4,22692,17.62735766
126,2000,5113,2,19170,10.43296818
127,2000,5115,3,51247,5.85400121
128,2000,5117,1,7610,13.14060447
129,2000,5119,53,316588,16.74100092
130,2000,5121,3,16670,17.99640072
131,2000,5123,4,26463,15.11544421
132,2000,5125,9,69612,12.92880538
133,2000,5127,2,9549,20.94460153
134,2000,5129,1,8084,12.37011381
135,2000,5131,16,114210,14.00928115
136,2000,5133,2,14478,13.81406272
137,2000,5135,2,15698,12.74047649
138,2000,5137,2,10052,19.896538
139,2000,5139,4,40132,9.967108542
140,2000,5141,3,14601,20.54653791
141,2000,5143,23,154774,14.86037707
142,2000,5145,15,55574,26.99103898
143,2000,5147,3,8398,35.72279114
144,2000,5149,3,19239,15.59332606
145,2000,6001,104,1281594,8.114894421
146,2000,6005,10,32255,31.00294528
147,2000,6007,36,185177,19.44085929
148,2000,6009,9,37270,24.1481084
149,2000,6011,4,18547,21.56683022
150,2000,6013,71,865987,8.198737394
151,2000,6015,8,24002,33.33055579
152,2000,6017,19,148963,12.75484516
153,2000,6019,57,758556,7.514277127
154,2000,6021,7,23158,30.22713533
155,2000,6023,21,108246,19.40025497
156,2000,6025,11,123447,8.910706619
157,2000,6027,4,16047,24.92677759
158,2000,6029,73,561905,12.99151992
159,2000,6031,10,120277,8.314141523
160,2000,6033,8,50024,15.99232368
161,2000,6035,5,28445,17.57778168
162,2000,6037,679,8334720,8.146644398
163,2000,6039,6,110699,5.420103163
164,2000,6041,31,237278,13.06484377
165,2000,6043,1,15634,6.396315722
166,2000,6045,14,76075,18.40289188
167,2000,6047,9,197876,4.548302978
168,2000,6049,1,8794,11.37138958
169,2000,6051,1,11337,8.820675664
170,2000,6053,21,369906,5.677117971
171,2000,6055,5,115475,4.329941546
172,2000,6057,21,84339,24.89951268
173,2000,6059,208,2592640,8.022710442
174,2000,6061,34,219530,15.48763267
175,2000,6063,3,19503,15.38224888
176,2000,6065,155,1373576,11.28441382
177,2000,6067,121,1107414,10.92635636
178,2000,6069,1,47544,2.103314824
179,2000,6071,183,1593036,11.48749934
180,2000,6073,322,2536648,12.69391733
181,2000,6075,99,639456,15.48190962
182,2000,6077,50,521193,9.593375199
183,2000,6079,34,218742,15.54342559
184,2000,6081,43,628413,6.842633746
185,2000,6083,47,378732,12.4098307
186,2000,6085,112,1548570,7.232478997
187,2000,6087,31,204697,15.14433529
188,2000,6089,27,150646,17.92281242
189,2000,6091,3,3124,96.03072983
190,2000,6093,10,40933,24.43016637
191,2000,6095,33,352991,9.348680278
192,2000,6097,43,439496,9.783934325
193,2000,6099,29,424370,6.833659307
194,2000,6101,12,72217,16.61658612
195,2000,6103,8,47125,16.97612732
196,2000,6107,27,351941,7.671740434
197,2000,6109,8,43786,18.27068013
198,2000,6111,67,698690,9.589374401
199,2000,6113,15,160997,9.316943794
200,2000,6115,9,56034,16.06167684
201,2000,8003,4,13397,29.85743077
202,2000,8005,53,456184,11.618119
203,2000,8007,2,8994,22.23704692
204,2000,8009,1,4501,22.21728505
205,2000,8015,4,14555,27.48196496
206,2000,8021,1,7699,12.98869983
207,2000,8023,1,3594,27.82415136
208,2000,8029,7,26572,26.34351949
209,2000,8031,93,518040,17.95228168
210,2000,8033,1,1622,61.65228113
211,2000,8035,13,169960,7.648858555
212,2000,8037,2,41187,4.855901134
213,2000,8039,2,16829,11.88424743
214,2000,8041,75,481868,15.56442843
215,2000,8043,7,44481,15.73705627
216,2000,8045,9,39865,22.57619466
217,2000,8047,2,3721,53.74899221
218,2000,8049,1,11029,9.067005168
219,2000,8051,1,13312,7.512019231
220,2000,8057,1,1478,67.65899865
221,2000,8065,1,7203,13.88310426
222,2000,8067,5,39566,12.63711267
223,2000,8069,37,221788,16.6825978
224,2000,8071,1,14874,6.723141051
225,2000,8073,2,5566,35.932447
226,2000,8075,3,18980,15.8061117
227,2000,8077,31,111511,27.79994799
228,2000,8081,4,11554,34.62004501
229,2000,8083,4,21021,19.02859046
230,2000,8085,8,31700,25.23659306
231,2000,8087,3,25349,11.83478638
232,2000,8089,1,18595,5.377789728
233,2000,8093,7,12897,54.27618826
234,2000,8097,2,14466,13.82552191
235,2000,8099,2,13279,15.0613751
236,2000,8101,26,123728,21.0138368
237,2000,8103,1,5743,17.41250218
238,2000,8105,1,11680,8.561643836
239,2000,8107,2,18573,10.7683196
240,2000,8115,2,2665,75.04690432
241,2000,8117,6,23340,25.70694087
242,2000,8119,5,18990,26.32964718
243,2000,8125,1,8761,11.41422212
244,2000,9001,65,853611,7.614709745
245,2000,9003,84,733154,11.4573473
246,2000,9005,15,174848,8.578879941
247,2000,9007,15,147970,10.13718997
248,2000,9009,86,710620,12.10210802
249,2000,9011,15,235170,6.378364587
250,2000,9013,10,132111,7.569392405
251,2000,9015,8,96432,8.296001327
252,2000,10001,15,121613,12.33420769
253,2000,10003,41,451869,9.073426148
254,2000,10005,20,145355,13.7594166
255,2000,11001,27,509325,5.301133854
256,2000,12001,39,195832,19.91502921
257,2000,12003,3,19881,15.08978422
258,2000,12005,26,140149,18.55168428
259,2000,12007,1,22968,4.353883664
260,2000,12009,81,445032,18.20093836
261,2000,12011,195,1470553,13.26031772
262,2000,12013,1,12113,8.255593164
263,2000,12015,19,126885,14.97418923
264,2000,12017,27,104537,25.82817567
265,2000,12019,16,129506,12.35463994
266,2000,12021,34,243188,13.98095301
267,2000,12023,9,53709,16.75696811
268,2000,12027,4,26769,14.94265755
269,2000,12029,6,12021,49.91265286
270,2000,12031,111,697765,15.90793462
